#!,Workbook:,Custom,Custom,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,
#!,For more information visit http://aka.ms/hackingstem/,,,
1300,1300,1300,1300,-56.97
1300,1300,1300,1300,-56.85
1300,1300,1300,1300,-56.72
1300,1300,1300,1300,-56.85
1300,1300,1300,1300,-56.85
1300,1300,1300,1300,-56.85
1300,1300,1300,1300,-56.85
1300,1300,1300,1300,-56.91
1300,1300,1300,1300,-56.97
1300,1300,1300,1300,-57.04
1300,1300,1300,1300,-57.22
1300,1300,1300,1300,-57.22
1300,1300,1300,1300,-57.41
1300,1300,1300,1300,-57.41
1300,1300,1300,1300,-57.79
1300,1300,1300,1300,-58.47
1300,1300,1300,1300,-59.54
1300,1300,1300,1300,-60.66
1300,1300,1300,1300,-61.66
1300,1300,1300,1300,-62.72
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-64.6
1300,1300,1300,1300,-65.16
1300,1300,1300,1300,-65.72
1300,1300,1300,1300,-66.1
1300,1300,1300,1300,-66.41
1300,1300,1300,1300,-66.6
1300,1300,1300,1300,-66.72
1300,1300,1300,1300,-67.04
1300,1300,1300,1300,-67.47
1300,1300,1300,1300,-68.04
1300,1300,1300,1300,-68.41
1300,1300,1300,1300,-68.47
1300,1300,1300,1300,-68.54
1300,1300,1300,1300,-68.35
1300,1300,1300,1300,-67.97
1300,1300,1300,1300,-67.54
1300,1300,1300,1300,-67.04
1300,1300,1300,1300,-66.6
1300,1300,1300,1300,-65.91
1300,1300,1300,1300,-65.29
1300,1300,1300,1300,-65.16
1300,1300,1300,1300,-65.29
1300,1300,1300,1300,-65.47
1300,1300,1300,1300,-65.54
1300,1300,1300,1300,-65.54
1300,1300,1300,1300,-65.35
1300,1300,1300,1300,-65.1
1300,1300,1300,1300,-64.85
1300,1300,1300,1300,-64.72
1300,1300,1300,1300,-64.6
1300,1300,1300,1300,-64.41
1300,1300,1300,1300,-64.22
1300,1300,1300,1300,-63.85
1300,1300,1300,1300,-63.35
1300,1300,1300,1300,-62.6
1300,1300,1300,1300,-62.04
1300,1300,1300,1300,-61.47
1300,1300,1300,1300,-60.79
1300,1300,1300,1300,-60.29
1300,1300,1300,1300,-59.79
1300,1300,1300,1300,-59.35
1300,1300,1300,1300,-58.79
1300,1300,1300,1300,-58.47
1300,1300,1300,1300,-58.22
1300,1300,1300,1300,-57.79
1300,1300,1300,1300,-57.41
1300,1300,1300,1300,-57.22
1300,1300,1300,1300,-56.97
1300,1300,1300,1300,-56.79
1300,1300,1300,1300,-56.79
1300,1300,1300,1300,-56.85
1300,1300,1300,1300,-56.91
1300,1300,1300,1300,-57.1
1300,1300,1300,1300,-57.35
1300,1300,1300,1300,-57.54
1300,1300,1300,1300,-57.97
1300,1300,1300,1300,-58.47
1300,1300,1300,1300,-59.54
1300,1300,1300,1300,-60.79
1300,1300,1300,1300,-62.35
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-65.04
1300,1300,1300,1300,-66.47
1300,1300,1300,1300,-68.1
1300,1300,1300,1300,-69.35
1300,1300,1300,1300,-70.41
1300,1300,1300,1300,-71.47
1300,1300,1300,1300,-72.41
1300,1300,1300,1300,-73.16
1300,1300,1300,1300,-73.66
1300,1300,1300,1300,-73.41
1300,1300,1300,1300,-73.1
1300,1300,1300,1300,-72.66
1300,1300,1300,1300,-71.91
1300,1300,1300,1300,-71.22
1300,1300,1300,1300,-70.41
1300,1300,1300,1300,-69.66
1300,1300,1300,1300,-68.79
1300,1300,1300,1300,-68.22
1300,1300,1300,1300,-67.54
