,,,,kp,ki,kd,,,,,,
,,,,0.2,0,1,,,,,,
,,,,,,,,,,,,
time,error,roll,sample time,p,i,d,pid,,p edited,I edited,d edited,pid edited
57200,-7.84,7.84,0.06,-23.53,-43.55,-316.41,-200,,-1.568,0,-196.8333333,-198.4013333
57259,-23.16,23.16,0.06,-69.47,-43.62,-389.3,-200,,-4.632,0,-255.3333333,-259.9653333
57319,-37.85,37.85,0.06,-113.54,-43.73,-367.19,-200,,-7.57,0,-244.8333333,-252.4033333
57380,-50.1,50.1,0.06,-150.29,-43.89,-301.23,-200,,-10.02,0,-204.1666667,-214.1866667
57442,-58.16,58.16,0.06,-174.47,-44.07,-195.06,-200,,-11.632,0,-134.3333333,-145.9653333
57503,-60.53,60.53,0.06,-181.6,-44.25,-58.4,-200,,-12.106,0,-39.5,-51.606
57564,-56.78,56.78,0.06,-170.35,-44.42,92.21,-122.56,,-11.356,0,62.5,51.144
57623,-47.6,47.6,0.06,-142.79,-44.56,233.58,46.23,,-9.52,0,153,143.48
57681,-33.72,33.72,0.06,-101.16,-44.66,358.84,200,,-6.744,0,231.3333333,224.5893333
57741,-16.72,16.72,0.06,-50.16,-44.71,425,200,,-3.344,0,283.3333333,279.9893333
57798,-1.66,1.66,0.06,-4.97,-44.72,396.38,200,,-0.332,0,251,250.668
57853,16.34,-16.34,0.05,49.03,-44.67,490.91,200,,3.268,0,360,363.268
57911,32.09,-32.09,0.06,96.28,-44.58,407.33,200,,6.418,0,262.5,268.918
57968,40.97,-40.97,0.06,122.9,-44.46,233.55,200,,8.194,0,148,156.194
58027,44.9,-44.9,0.06,134.72,-44.33,100.11,190.49,,8.98,0,65.5,74.48
58085,40.97,-40.97,0.06,122.9,-44.21,-101.83,-23.14,,8.194,0,-65.5,-57.306
58144,29.72,-29.72,0.06,89.15,-44.12,-286.02,-200,,5.944,0,-187.5,-181.556
58203,12.03,-12.03,0.06,36.09,-44.09,-449.68,-200,,2.406,0,-294.8333333,-292.4273333
58262,-9.41,9.41,0.06,-28.22,-44.12,-545.02,-200,,-1.882,0,-357.3333333,-359.2153333
58320,-28.22,28.22,0.06,-84.66,-44.2,-486.53,-200,,-5.644,0,-313.5,-319.144
58381,-48.35,48.35,0.06,-145.04,-44.34,-494.88,-200,,-9.67,0,-335.5,-345.17
58442,-67.09,67.09,0.06,-201.29,-44.55,-461.07,-200,,-13.418,0,-312.3333333,-325.7513333
58504,-78.78,78.78,0.06,-236.35,-44.79,-282.76,-200,,-15.756,0,-194.8333333,-210.5893333
58565,-82.59,82.59,0.06,-247.79,-45.05,-93.75,-200,,-16.518,0,-63.5,-80.018
58626,-76.97,76.97,0.06,-230.91,-45.28,138.32,-137.87,,-15.394,0,93.66666667,78.27266667
58686,-63.53,63.53,0.06,-190.6,-45.47,335.94,99.87,,-12.706,0,224,211.294
58744,-46.53,46.53,0.06,-139.6,-45.61,439.66,200,,-9.306,0,283.3333333,274.0273333
58803,-29.09,29.09,0.06,-87.28,-45.69,443.33,200,,-5.818,0,290.6666667,284.8486667
58861,-16.16,16.16,0.06,-48.47,-45.74,334.59,200,,-3.232,0,215.5,212.268
58919,-5.22,5.22,0.06,-15.66,-45.75,282.87,200,,-1.044,0,182.3333333,181.2893333
58976,-1.97,1.97,0.06,-5.91,-45.76,85.53,33.86,,-0.394,0,54.16666667,53.77266667
59029,-6.22,6.22,0.05,-18.66,-45.78,-120.28,-184.72,,-1.244,0,-85,-86.244
59087,-18.09,18.09,0.06,-54.28,-45.83,-307.11,-200,,-3.618,0,-197.8333333,-201.4513333
59148,-33.78,33.78,0.06,-101.35,-45.93,-385.76,-200,,-6.756,0,-261.5,-268.256
59209,-49.1,49.1,0.06,-147.29,-46.08,-376.54,-200,,-9.82,0,-255.3333333,-265.1533333
59270,-60.28,60.28,0.06,-180.85,-46.26,-275.1,-200,,-12.056,0,-186.3333333,-198.3893333
59331,-64.47,64.47,0.06,-193.41,-46.46,-102.97,-200,,-12.894,0,-69.83333333,-82.72733333
59393,-61.47,61.47,0.06,-184.41,-46.65,72.58,-158.48,,-12.294,0,50,37.706
59452,-52.1,52.1,0.06,-156.29,-46.81,238.35,35.26,,-10.42,0,156.1666667,145.7466667
59510,-37.97,37.97,0.06,-113.91,-46.92,365.3,200,,-7.594,0,235.5,227.906
59570,-21.09,21.09,0.06,-63.28,-46.98,421.88,200,,-4.218,0,281.3333333,277.1153333
59628,-3.72,3.72,0.06,-11.16,-46.99,449.35,200,,-0.744,0,289.5,288.756
59684,8.59,-8.59,0.06,25.78,-46.97,329.8,200,,1.718,0,205.1666667,206.8846667
59740,18.72,-18.72,0.06,56.15,-46.91,271.21,200,,3.744,0,168.8333333,172.5773333
59796,21.53,-21.53,0.06,64.59,-46.85,75.33,93.07,,4.306,0,46.83333333,51.13933333
59851,17.47,-17.47,0.05,52.4,-46.81,-110.8,-105.2,,3.494,0,-81.2,-77.706
59911,5.53,-5.53,0.06,16.59,-46.79,-298.44,-200,,1.106,0,-199,-197.894
59968,-11.97,11.97,0.06,-35.91,-46.82,-460.53,-200,,-2.394,0,-291.6666667,-294.0606667
60028,-32.41,32.41,0.06,-97.22,-46.92,-510.94,-200,,-6.482,0,-340.6666667,-347.1486667
60089,-51.91,51.91,0.06,-155.72,-47.08,-479.51,-200,,-10.382,0,-325,-335.382
60150,-67.22,67.22,0.06,-201.66,-47.28,-376.54,-200,,-13.444,0,-255.1666667,-268.6106667
60212,-75.66,75.66,0.06,-226.97,-47.52,-204.13,-200,,-15.132,0,-140.6666667,-155.7986667
60273,-75.97,75.97,0.06,-227.91,-47.75,-7.68,-200,,-15.194,0,-5.166666667,-20.36066667
60332,-68.78,68.78,0.06,-206.35,-47.95,182.73,-71.57,,-13.756,0,119.8333333,106.0773333
60391,-55.53,55.53,0.06,-166.6,-48.12,336.86,122.15,,-11.106,0,220.8333333,209.7273333
60450,-38.22,38.22,0.06,-114.66,-48.23,440.15,200,,-7.644,0,288.5,280.856
60510,-21.84,21.84,0.06,-65.53,-48.29,409.38,200,,-4.368,0,273,268.632
