#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1180.34,1186.16,1213.84,1219.66,19.10,-19.10,5.03,-5.03,2.91,16.75
1176.59,1183.81,1216.19,1223.41,22.91,-22.91,5.91,-5.91,3.61,19.80
1176.39,1183.02,1216.98,1223.61,23.54,-23.54,5.53,-5.53,3.31,20.29
1180.10,1183.92,1216.08,1219.90,20.66,-20.66,3.78,-3.78,1.91,17.99
1187.18,1185.54,1214.46,1212.82,15.23,-15.23,0.34,-0.34,-0.82,13.64
1196.48,1187.14,1212.86,1203.52,8.41,-8.41,-4.47,4.47,-4.67,8.19
1207.25,1188.60,1211.40,1192.75,0.72,-0.72,-10.28,10.28,-9.32,2.08
1218.90,1190.45,1209.55,1181.10,-7.71,7.71,-16.41,16.41,-14.22,-4.67
1230.60,1191.55,1208.45,1169.40,-15.71,15.71,-23.03,23.03,-19.52,-11.07
1241.69,1189.34,1210.66,1158.31,-21.27,21.27,-31.34,31.34,-26.18,-15.52
1247.74,1185.59,1214.41,1152.26,-22.71,22.71,-37.47,37.47,-31.07,-16.67
1248.03,1184.39,1215.61,1151.97,-22.15,22.15,-38.41,38.41,-31.82,-16.21
1242.88,1186.35,1213.65,1157.12,-20.15,20.15,-33.97,33.97,-28.27,-14.61
1232.27,1188.75,1211.25,1167.73,-15.02,15.02,-25.84,25.84,-21.76,-10.51
1218.82,1191.00,1209.00,1181.18,-8.02,8.02,-16.03,16.03,-13.91,-4.91
1206.77,1192.94,1207.06,1193.23,-1.59,1.59,-7.28,7.28,-6.91,0.15
1195.52,1194.79,1205.21,1204.48,4.29,-4.29,0.84,-0.84,-0.37,4.85
1187.37,1195.44,1204.56,1212.63,8.98,-8.98,6.34,-6.34,4.03,8.60
1180.22,1194.69,1205.31,1219.78,13.91,-13.91,10.34,-10.34,7.23,12.55
1175.98,1191.93,1208.07,1224.02,18.29,-18.29,11.28,-11.28,7.98,16.05
1175.33,1187.68,1212.32,1224.67,21.35,-21.35,9.03,-9.03,6.18,18.49
1178.43,1185.08,1214.92,1221.57,21.04,-21.04,5.47,-5.47,3.33,18.24
1184.53,1183.99,1216.01,1215.47,17.91,-17.91,0.91,-0.91,-0.27,15.74
1193.74,1182.79,1217.21,1206.26,12.91,-12.91,-5.59,5.59,-5.47,11.74
1204.39,1182.64,1217.36,1195.61,6.35,-6.35,-12.34,12.34,-10.87,6.49
1216.44,1183.69,1216.31,1183.56,-1.71,1.71,-19.22,19.22,-16.37,-0.07
1228.04,1186.09,1213.91,1171.96,-10.46,10.46,-24.97,24.97,-20.97,-7.07
1240.39,1189.54,1210.46,1159.61,-20.34,20.34,-30.53,30.53,-25.42,-14.97
1247.34,1190.39,1209.61,1152.66,-25.21,25.21,-34.35,34.35,-28.47,-18.86
1249.78,1188.74,1211.26,1150.22,-25.71,25.71,-36.91,36.91,-30.52,-19.26
1245.47,1186.44,1213.56,1154.53,-21.59,21.59,-35.66,35.66,-29.52,-15.96
1236.37,1187.14,1212.86,1163.63,-16.34,16.34,-29.53,29.53,-24.61,-11.76
1222.87,1190.04,1209.96,1177.13,-9.71,9.71,-19.28,19.28,-16.41,-6.45
1210.37,1192.84,1207.16,1189.63,-3.65,3.65,-9.72,9.72,-8.76,-1.60
1198.22,1194.58,1205.42,1201.78,2.66,-2.66,-0.97,0.97,-1.82,3.60
1187.77,1195.73,1204.27,1212.23,8.48,-8.48,6.28,-6.28,3.98,8.25
1179.92,1195.28,1204.72,1220.08,13.66,-13.66,10.91,-10.91,7.68,12.40
1174.73,1192.78,1207.22,1225.27,18.47,-18.47,12.59,-12.59,9.03,16.25
1172.98,1188.43,1211.57,1227.02,22.29,-22.29,10.97,-10.97,7.72,19.30
1175.58,1184.73,1215.27,1224.42,22.97,-22.97,7.03,-7.03,4.57,19.84
1181.52,1182.79,1217.21,1218.48,20.47,-20.47,1.97,-1.97,0.64,17.84
1190.98,1181.95,1218.05,1209.02,15.10,-15.10,-4.47,4.47,-4.52,13.54
1203.63,1182.10,1217.90,1196.37,7.10,-7.10,-12.28,12.28,-10.77,7.14
1215.60,1183.57,1216.43,1184.40,-1.21,1.21,-18.84,18.84,-16.02,0.41
1227.45,1186.42,1213.58,1172.55,-10.40,10.40,-24.47,24.47,-20.51,-6.94
1238.20,1189.87,1210.13,1161.80,-19.27,19.27,-29.03,29.03,-24.16,-14.04
1246.55,1191.22,1208.78,1153.45,-25.34,25.34,-33.41,33.41,-27.66,-18.88
1249.04,1189.62,1210.38,1150.96,-25.90,25.90,-35.97,35.97,-29.71,-19.33
1245.89,1186.57,1213.43,1154.11,-22.02,22.02,-35.91,35.91,-29.66,-16.23
1235.78,1186.77,1213.23,1164.22,-15.84,15.84,-29.47,29.47,-24.51,-11.27
1224.18,1189.67,1210.33,1175.82,-10.40,10.40,-20.41,20.41,-17.25,-6.93
1210.18,1193.57,1206.43,1189.82,-4.09,4.09,-9.22,9.22,-8.30,-1.87
1200.12,1196.17,1203.83,1199.88,0.54,-0.54,-1.22,1.22,-1.97,1.86
1190.07,1198.42,1201.58,1209.93,5.41,-5.41,6.47,-6.47,4.18,5.76
1182.67,1199.02,1200.98,1217.33,9.66,-9.66,11.47,-11.47,8.17,9.15
1178.07,1197.42,1202.58,1221.93,13.54,-13.54,13.34,-13.34,9.67,12.25
1176.58,1193.22,1206.78,1223.42,17.10,-17.10,11.66,-11.66,8.32,15.10
1178.78,1188.01,1211.99,1221.22,18.97,-18.97,7.03,-7.03,4.62,16.60
1184.87,1183.33,1216.67,1215.13,18.10,-18.10,0.28,-0.28,-0.77,15.90
1193.67,1179.43,1220.57,1206.33,15.04,-15.04,-7.66,7.66,-7.12,13.45
1203.97,1177.33,1222.67,1196.03,9.91,-9.91,-15.41,15.41,-13.32,9.35
1215.07,1176.93,1223.07,1184.93,3.23,-3.23,-22.59,22.59,-19.07,4.00
1225.52,1179.39,1220.61,1174.48,-4.84,4.84,-27.59,27.59,-23.07,-2.46
1234.52,1183.59,1216.41,1165.48,-13.09,13.09,-30.59,30.59,-25.47,-9.06
1242.17,1190.54,1209.46,1157.83,-22.21,22.21,-31.03,31.03,-25.81,-16.36
1244.86,1195.34,1204.66,1155.14,-26.90,26.90,-29.72,29.72,-24.76,-20.10
1241.71,1197.09,1202.91,1158.29,-26.02,26.02,-26.66,26.66,-22.31,-19.40
1235.56,1195.23,1204.77,1164.44,-21.02,21.02,-23.97,23.97,-20.16,-15.40
1226.25,1191.53,1208.47,1173.75,-12.90,12.90,-20.47,20.47,-17.36,-8.89
1214.38,1187.86,1212.14,1185.62,-2.96,2.96,-15.34,15.34,-13.26,-1.12
1203.48,1185.36,1214.64,1196.52,5.41,-5.41,-10.09,10.09,-9.06,5.58
1193.18,1183.66,1216.34,1206.82,12.91,-12.91,-4.72,4.72,-4.76,11.58
1184.49,1182.36,1217.64,1215.51,19.16,-19.16,-0.09,0.09,-1.07,16.58
1177.94,1183.31,1216.69,1222.06,22.66,-22.66,4.59,-4.59,2.68,19.37
1175.04,1184.31,1215.69,1224.96,23.85,-23.85,7.03,-7.03,4.63,20.32
1176.85,1186.41,1213.59,1223.15,21.41,-21.41,7.22,-7.22,4.78,18.37
1182.70,1189.66,1210.34,1217.30,15.73,-15.73,5.59,-5.59,3.48,13.82
1191.88,1192.09,1207.91,1208.12,8.48,-8.48,1.28,-1.28,0.10,8.02
1203.16,1193.66,1206.34,1196.84,0.41,-0.41,-4.78,4.78,-4.75,1.59
1215.91,1194.71,1205.29,1184.09,-8.21,8.21,-12.09,12.09,-10.60,-5.31
1228.91,1194.11,1205.89,1171.09,-15.96,15.96,-20.59,20.59,-17.40,-11.51
1241.96,1189.56,1210.44,1158.04,-21.27,21.27,-31.59,31.59,-26.20,-15.76
1250.06,1183.86,1216.14,1149.94,-22.77,22.77,-40.22,40.22,-33.10,-16.96
1252.70,1182.31,1217.69,1147.30,-23.46,23.46,-42.85,42.85,-35.20,-17.51
1248.80,1184.81,1215.19,1151.20,-22.59,22.59,-38.85,38.85,-31.99,-16.81
1238.19,1188.21,1211.79,1161.81,-18.09,18.09,-30.09,30.09,-24.99,-13.20
1223.94,1190.96,1209.04,1176.06,-10.90,10.90,-19.47,19.47,-16.49,-7.45
1210.74,1193.16,1206.84,1189.26,-4.03,4.03,-9.84,9.84,-8.79,-1.95
1197.98,1195.03,1204.97,1202.02,2.60,-2.60,-0.66,0.66,-1.47,3.50
1187.13,1196.28,1203.72,1212.87,8.60,-8.60,6.91,-6.91,4.57,8.30
1179.93,1195.87,1204.13,1220.07,13.35,-13.35,11.16,-11.16,7.97,12.10
1173.73,1192.87,1207.13,1226.27,19.10,-19.10,13.16,-13.16,9.57,16.70
1172.34,1188.57,1211.43,1227.66,22.66,-22.66,11.34,-11.34,8.12,19.55
1175.29,1185.52,1214.48,1224.71,22.72,-22.72,7.59,-7.59,5.11,19.59
1181.63,1184.69,1215.31,1218.37,19.29,-19.29,2.91,-2.91,1.53,16.84
1191.33,1184.69,1215.31,1208.67,13.23,-13.23,-3.16,3.16,-3.32,11.99
1202.88,1185.14,1214.86,1197.12,5.73,-5.73,-10.09,10.09,-8.87,5.99
1217.63,1186.59,1213.41,1182.37,-4.40,4.40,-18.41,18.41,-15.52,-2.11
1230.73,1188.40,1211.60,1169.27,-13.71,13.71,-25.47,25.47,-21.17,-9.56
1242.88,1189.14,1210.86,1157.12,-21.77,21.77,-32.60,32.60,-26.87,-16.01
1252.48,1187.04,1212.96,1147.52,-26.46,26.46,-39.91,39.91,-32.72,-19.76
1255.37,1184.04,1215.96,1144.63,-26.40,26.40,-43.60,43.60,-35.67,-19.71
1250.62,1184.59,1215.41,1149.38,-23.77,23.77,-40.28,40.28,-33.01,-17.60
1240.91,1188.30,1211.70,1159.09,-20.02,20.02,-31.91,31.91,-26.31,-14.60
1226.06,1192.15,1207.85,1173.94,-13.15,13.15,-20.22,20.22,-16.95,-9.10
1210.20,1193.90,1206.10,1189.80,-4.34,4.34,-9.22,9.22,-8.15,-2.05
1198.72,1194.64,1205.36,1201.28,2.23,-2.23,-1.47,1.47,-2.04,3.32
1186.81,1195.03,1204.97,1213.19,9.41,-9.41,6.22,-6.22,4.11,9.08
1177.37,1193.58,1206.42,1222.63,16.22,-16.22,11.22,-11.22,8.11,14.52
1170.72,1190.33,1209.67,1229.28,22.41,-22.41,13.34,-13.34,9.81,19.47
1168.52,1186.43,1213.57,1231.48,26.22,-26.22,12.28,-12.28,8.95,22.52
1171.73,1185.03,1214.97,1228.27,25.10,-25.10,9.41,-9.41,6.65,21.62
1179.23,1185.94,1214.06,1220.77,19.85,-19.85,5.28,-5.28,3.35,17.41
1190.07,1187.51,1212.49,1209.93,12.10,-12.10,-0.47,0.47,-1.28,11.21
1202.82,1188.76,1211.24,1197.18,3.35,-3.35,-7.66,7.66,-7.03,4.21
1216.82,1190.16,1209.84,1183.18,-6.28,6.28,-15.53,15.53,-13.33,-3.49
1231.32,1190.66,1209.34,1168.68,-15.65,15.65,-24.28,24.28,-20.33,-10.99
1246.47,1187.80,1212.20,1153.53,-23.34,23.34,-35.53,35.53,-29.33,-17.14
1255.61,1182.75,1217.25,1144.39,-25.90,25.90,-44.41,44.41,-36.43,-19.18
1258.61,1180.15,1219.85,1141.39,-26.15,26.15,-47.91,47.91,-39.23,-19.38
1253.75,1182.81,1217.19,1146.25,-24.77,24.77,-43.22,43.22,-35.47,-18.28
1240.84,1187.11,1212.89,1159.16,-19.40,19.40,-32.47,32.47,-26.87,-13.98
1226.54,1190.11,1209.89,1173.46,-12.34,12.34,-21.66,21.66,-18.22,-8.33
1209.44,1192.71,1207.29,1190.56,-3.28,3.28,-9.34,9.34,-8.36,-1.07
1195.24,1195.01,1204.99,1204.76,4.16,-4.16,0.91,-0.91,-0.11,4.88
1183.09,1195.76,1204.24,1216.91,11.29,-11.29,8.97,-8.97,6.34,10.58
1173.69,1194.56,1205.44,1226.31,17.91,-17.91,14.09,-14.09,10.43,15.87
1167.45,1190.91,1209.09,1232.55,24.10,-24.10,15.72,-15.72,11.73,20.82
1166.25,1186.91,1213.09,1233.75,27.35,-27.35,13.97,-13.97,10.33,23.42
1171.31,1185.16,1214.84,1228.69,25.29,-25.29,9.72,-9.72,6.93,21.77
1180.46,1186.31,1213.69,1219.54,18.85,-18.85,4.72,-4.72,2.92,16.61
1192.94,1187.53,1212.47,1207.06,10.29,-10.29,-2.16,2.16,-2.70,9.76
1207.26,1188.65,1211.35,1192.74,0.60,-0.60,-10.41,10.41,-9.30,2.05
1222.91,1189.50,1210.50,1177.09,-9.71,9.71,-19.66,19.66,-16.70,-6.20
1238.81,1189.10,1210.90,1161.19,-19.40,19.40,-29.84,29.84,-24.86,-13.95
1254.11,1184.29,1215.71,1145.89,-25.96,25.96,-42.41,42.41,-34.91,-19.20
1262.30,1178.99,1221.01,1137.70,-27.77,27.77,-50.85,50.85,-41.65,-20.65
1262.29,1179.10,1220.90,1137.71,-27.84,27.84,-50.78,50.78,-41.60,-20.70
1252.63,1183.95,1216.05,1147.37,-24.84,24.84,-41.72,41.72,-34.34,-18.29
1238.43,1188.05,1211.95,1161.57,-18.52,18.52,-30.28,30.28,-25.19,-13.24
1219.28,1191.10,1208.90,1180.72,-8.46,8.46,-16.41,16.41,-14.09,-5.19
1202.58,1193.01,1206.99,1197.42,0.72,-0.72,-4.78,4.78,-4.79,2.20
1187.33,1194.36,1205.64,1212.67,9.41,-9.41,5.59,-5.59,3.51,9.15
1175.84,1194.46,1205.54,1224.16,16.54,-16.54,12.84,-12.84,9.31,14.85
1164.44,1191.85,1208.15,1235.56,25.29,-25.29,18.34,-18.34,13.71,21.85
1159.45,1187.95,1212.05,1240.55,30.85,-30.85,19.03,-19.03,14.25,26.30
1161.45,1186.25,1213.75,1238.55,30.66,-30.66,16.72,-16.72,12.40,26.15
1170.61,1187.51,1212.49,1229.39,24.16,-24.16,11.78,-11.78,8.45,20.94
1183.41,1189.21,1210.79,1216.59,15.10,-15.10,4.84,-4.84,2.90,13.69
1198.67,1190.36,1209.64,1201.33,4.85,-4.85,-3.97,3.97,-4.15,5.49
1215.87,1190.86,1209.14,1184.13,-6.21,6.21,-14.41,14.41,-12.51,-3.36
1233.92,1190.21,1209.79,1166.08,-17.09,17.09,-26.09,26.09,-21.86,-12.06
1253.27,1184.15,1215.85,1146.73,-25.40,25.40,-41.97,41.97,-34.56,-18.71
1265.21,1176.60,1223.40,1134.79,-28.15,28.15,-54.16,54.16,-44.31,-20.91
1268.90,1174.40,1225.60,1131.10,-29.09,29.09,-57.85,57.85,-47.25,-21.65
1262.69,1178.01,1221.99,1137.31,-27.46,27.46,-51.72,51.72,-42.34,-20.35
1246.13,1184.96,1215.04,1153.87,-21.46,21.46,-37.03,37.03,-30.59,-15.55
1224.63,1190.76,1209.24,1175.37,-11.65,11.65,-19.97,19.97,-16.93,-7.70
