,,,,kp,3,,kd,1.5
,,,,ki,0.05,,,
,,,,p,i,d,pid,
26.34,-26.34,0.02,,79.02,,,,
24.53,-24.53,0.02,,73.59,,,,
22.03,-22.03,0.02,,66.09,,,,
18.97,-18.97,0.02,,56.91,,,,
15.4,-15.4,0.02,,46.2,,,,
11.47,-11.47,0.02,,34.41,,,,
7.03,-7.03,0.02,,21.09,,,,
2.47,-2.47,0.02,,7.41,,,,
-2.16,2.16,0.02,,-6.48,,,,
-4.59,4.59,0.02,,-13.77,,,,
-9.22,9.22,0.02,,-27.66,,,,
-13.6,13.6,0.02,,-40.8,,,,
-17.72,17.72,0.02,,-53.16,,,,
-21.28,21.28,0.02,,-63.84,,,,
-24.34,24.34,0.02,,-73.02,,,,
-26.84,26.84,0.02,,-80.52,,,,
-29.16,29.16,0.02,,-87.48,,,,
-30.84,30.84,0.02,,-92.52,,,,
-32.22,32.22,0.02,,-96.66,,,,
-33.28,33.28,0.02,,-99.84,,,,
-34.1,34.1,0.02,,-102.3,,,,
-34.22,34.22,0.02,,-102.66,,,,
-34.28,34.28,0.02,,-102.84,,,,
-33.6,33.6,0.02,,-100.8,,,,
-32.22,32.22,0.02,,-96.66,,,,
-30.16,30.16,0.02,,-90.48,,,,
-27.47,27.47,0.02,,-82.41,,,,
-24.34,24.34,0.02,,-73.02,,,,
-20.91,20.91,0.02,,-62.73,,,,
-17.09,17.09,0.02,,-51.27,,,,
-13.03,13.03,0.02,,-39.09,,,,
-8.85,8.85,0.02,,-26.55,,,,
-4.41,4.41,0.02,,-13.23,,,,
0.03,-0.03,0.02,,0.09,,,,
2.22,-2.22,0.02,,6.66,,,,
6.66,-6.66,0.02,,19.98,,,,
10.65,-10.65,0.02,,31.95,,,,
14.28,-14.28,0.02,,42.84,,,,
17.53,-17.53,0.02,,52.59,,,,
19.9,-19.9,0.02,,59.7,,,,
21.84,-21.84,0.02,,65.52,,,,
23.03,-23.03,0.02,,69.09,,,,
23.59,-23.59,0.02,,70.77,,,,
23.4,-23.4,0.02,,70.2,,,,
22.4,-22.4,0.02,,67.2,,,,
20.72,-20.72,0.02,,62.16,,,,
18.34,-18.34,0.02,,55.02,,,,
15.28,-15.28,0.02,,45.84,,,,
11.84,-11.84,0.02,,35.52,,,,
8.03,-8.03,0.02,,24.09,,,,
5.91,-5.91,0.02,,17.73,,,,
1.65,-1.65,0.02,,4.95,,,,
-2.66,2.66,0.02,,-7.98,,,,
-7.16,7.16,0.02,,-21.48,,,,
-9.28,9.28,0.02,,-27.84,,,,
-13.47,13.47,0.02,,-40.41,,,,
-17.34,17.34,0.02,,-52.02,,,,
-20.84,20.84,0.02,,-62.52,,,,
-23.84,23.84,0.02,,-71.52,,,,
-26.28,26.28,0.02,,-78.84,,,,
-28.09,28.09,0.02,,-84.27,,,,
-29.78,29.78,0.02,,-89.34,,,,
-30.84,30.84,0.02,,-92.52,,,,
-31.66,31.66,0.02,,-94.98,,,,
-32.22,32.22,0.02,,-96.66,,,,
-32.53,32.53,0.02,,-97.59,,,,
-32.16,32.16,0.02,,-96.48,,,,
-31.22,31.22,0.02,,-93.66,,,,
